date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:21	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Nov%202019%2016:56:11%20GMT	https://demo.kaliumtheme.com/robots.txt		(from )
17:57:21	143426/143426	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:11%20GMT	https://demo.kaliumtheme.com/shop/	demo.kaliumtheme.com/shop/index.html	(from )
17:57:22	864/864	---MC-	200	added ('OK')	text/xml	date:Mon,%2004%20Nov%202019%2016:56:12%20GMT	https://demo.kaliumtheme.com/shop/xmlrpc.php?rsd	demo.kaliumtheme.com/shop/xmlrpc0db0.php	(from https://demo.kaliumtheme.com/shop/)
17:57:23	7865/7865	---MC-	200	added ('OK')	application/rss+xml	etag:%22c3a75b39a3e39bde27d0e451d6682fc5%22	https://demo.kaliumtheme.com/shop/feed/	demo.kaliumtheme.com/shop/feed/index.html	(from https://demo.kaliumtheme.com/shop/)
17:57:23	753/753	---MC-	200	added ('OK')	application/rss+xml	etag:%229a297c2f9d10dd53840f31363f23d9f7%22	https://demo.kaliumtheme.com/shop/homepage/feed/	demo.kaliumtheme.com/shop/homepage/feed/index.html	(from https://demo.kaliumtheme.com/shop/)
17:57:23	6132/6132	---MC-	200	added ('OK')	application/rss+xml	etag:%229a297c2f9d10dd53840f31363f23d9f7%22	https://demo.kaliumtheme.com/shop/comments/feed/	demo.kaliumtheme.com/shop/comments/feed/index.html	(from https://demo.kaliumtheme.com/shop/)
17:57:25	2215/2215	---MC-	200	added ('OK')	application/json	date:Mon,%2004%20Nov%202019%2016:56:14%20GMT	https://demo.kaliumtheme.com/shop/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo.kaliumtheme.com%2Fshop%2F	demo.kaliumtheme.com/shop/wp-json/oembed/1.0/embedb58d.json	(from https://demo.kaliumtheme.com/shop/)
17:57:25	554397/554397	---MC-	200	added ('OK')	application/json	date:Mon,%2004%20Nov%202019%2016:56:14%20GMT	https://demo.kaliumtheme.com/shop/wp-json/	demo.kaliumtheme.com/shop/wp-json/index.html	(from https://demo.kaliumtheme.com/shop/)
17:57:26	2310/2310	---MC-	200	added ('OK')	text/xml	date:Mon,%2004%20Nov%202019%2016:56:16%20GMT	https://demo.kaliumtheme.com/shop/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo.kaliumtheme.com%2Fshop%2F&format=xml	demo.kaliumtheme.com/shop/wp-json/oembed/1.0/embed2c03	(from https://demo.kaliumtheme.com/shop/)
17:57:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Nov%202019%2016:56:17%20GMT	http://demo.kaliumtheme.com/shop/product/panamericana-chair	demo.kaliumtheme.com/shop/product/panamericana-chair.3.delayed	(from https://demo.kaliumtheme.com/shop/)
17:57:27	143637/143637	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:17%20GMT	https://demo.kaliumtheme.com/shop/?shop-minicart-icon=2	demo.kaliumtheme.com/shop/index58bc.html	(from https://demo.kaliumtheme.com/shop/)
17:57:27	143673/143673	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:17%20GMT	https://demo.kaliumtheme.com/shop/?shop-minicart-icon=1	demo.kaliumtheme.com/shop/indexcbd2.html	(from https://demo.kaliumtheme.com/shop/)
17:57:28	143649/143649	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:18%20GMT	https://demo.kaliumtheme.com/shop/?shop-minicart-icon=3	demo.kaliumtheme.com/shop/index7351.html	(from https://demo.kaliumtheme.com/shop/)
17:57:29	87465/87465	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:19%20GMT	https://demo.kaliumtheme.com/shop/shop/?shop-sidebar=left	demo.kaliumtheme.com/shop/shop/index2354.html	(from https://demo.kaliumtheme.com/shop/)
17:57:29	79201/79201	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:19%20GMT	https://demo.kaliumtheme.com/shop/shop/	demo.kaliumtheme.com/shop/shop/index.html	(from https://demo.kaliumtheme.com/shop/)
17:57:30	87436/87436	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:19%20GMT	https://demo.kaliumtheme.com/shop/shop/?shop-sidebar=right	demo.kaliumtheme.com/shop/shop/index2633.html	(from https://demo.kaliumtheme.com/shop/)
17:57:30	207628/207628	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:20%20GMT	https://demo.kaliumtheme.com/shop/shop-carousel/	demo.kaliumtheme.com/shop/shop-carousel/index.html	(from https://demo.kaliumtheme.com/shop/)
17:57:31	72260/72260	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:21%20GMT	https://demo.kaliumtheme.com/shop/shop/?shop-catalog-mode=yes	demo.kaliumtheme.com/shop/shop/index0c9c.html	(from https://demo.kaliumtheme.com/shop/)
17:57:31	80370/80370	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:21%20GMT	https://demo.kaliumtheme.com/shop/shop/?shop-columns=two&shop-sidebar=right	demo.kaliumtheme.com/shop/shop/index3886.html	(from https://demo.kaliumtheme.com/shop/)
17:57:32	86483/86483	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:22%20GMT	https://demo.kaliumtheme.com/shop/shop/?shop-columns=four	demo.kaliumtheme.com/shop/shop/index9bef.html	(from https://demo.kaliumtheme.com/shop/)
17:57:32	79485/79485	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:22%20GMT	https://demo.kaliumtheme.com/shop/shop/?shop-columns=three	demo.kaliumtheme.com/shop/shop/index0a13.html	(from https://demo.kaliumtheme.com/shop/)
17:57:33	79651/79651	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:23%20GMT	https://demo.kaliumtheme.com/shop/product-category/accessories/	demo.kaliumtheme.com/shop/product-category/accessories/index.html	(from https://demo.kaliumtheme.com/shop/)
17:57:33	60701/60701	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:23%20GMT	https://demo.kaliumtheme.com/shop/categories/	demo.kaliumtheme.com/shop/categories/index.html	(from https://demo.kaliumtheme.com/shop/)
17:57:34	63854/63854	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:24%20GMT	https://demo.kaliumtheme.com/shop/product-category/children/	demo.kaliumtheme.com/shop/product-category/children/index.html	(from https://demo.kaliumtheme.com/shop/)
17:57:34	79746/79746	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:24%20GMT	https://demo.kaliumtheme.com/shop/product-category/accessories/home/	demo.kaliumtheme.com/shop/product-category/accessories/home/index.html	(from https://demo.kaliumtheme.com/shop/)
17:57:35	68549/68549	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:25%20GMT	https://demo.kaliumtheme.com/shop/product-category/magazines/	demo.kaliumtheme.com/shop/product-category/magazines/index.html	(from https://demo.kaliumtheme.com/shop/)
17:57:35	71608/71608	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:25%20GMT	https://demo.kaliumtheme.com/shop/product-category/office/	demo.kaliumtheme.com/shop/product-category/office/index.html	(from https://demo.kaliumtheme.com/shop/)
17:57:36	64065/64065	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:26%20GMT	https://demo.kaliumtheme.com/shop/product-category/outdoor/	demo.kaliumtheme.com/shop/product-category/outdoor/index.html	(from https://demo.kaliumtheme.com/shop/)
17:57:36	79457/79457	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:26%20GMT	https://demo.kaliumtheme.com/shop/shop/?shop-pagination-type=endless-reveal	demo.kaliumtheme.com/shop/shop/index0087.html	(from https://demo.kaliumtheme.com/shop/)
17:57:37	2260/2260	---MC-	200	added ('OK')	application/json	date:Mon,%2004%20Nov%202019%2016:56:27%20GMT	https://demo.kaliumtheme.com/shop/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo.kaliumtheme.com%2Fshop%2Fshop-carousel%2F	demo.kaliumtheme.com/shop/wp-json/oembed/1.0/embedecbf.json	(from https://demo.kaliumtheme.com/shop/shop-carousel/)
17:57:37	79451/79451	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:28%20GMT	https://demo.kaliumtheme.com/shop/shop/?shop-pagination-type=endless	demo.kaliumtheme.com/shop/shop/indexf91e.html	(from https://demo.kaliumtheme.com/shop/)
17:57:37	78721/78721	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:28%20GMT	https://demo.kaliumtheme.com/shop/shop/?shop-pagination-type=normal	demo.kaliumtheme.com/shop/shop/indexc5bd.html	(from https://demo.kaliumtheme.com/shop/)
17:57:37	87393/87393	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:28%20GMT	https://demo.kaliumtheme.com/shop/shop/?shop-catalog-layout=default	demo.kaliumtheme.com/shop/shop/index8fc5.html	(from https://demo.kaliumtheme.com/shop/)
17:57:39	2353/2353	---MC-	200	added ('OK')	text/xml	date:Mon,%2004%20Nov%202019%2016:56:28%20GMT	https://demo.kaliumtheme.com/shop/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo.kaliumtheme.com%2Fshop%2Fshop-carousel%2F&format=xml	demo.kaliumtheme.com/shop/wp-json/oembed/1.0/embed13cd	(from https://demo.kaliumtheme.com/shop/shop-carousel/)
17:57:40	79299/79299	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:30%20GMT	https://demo.kaliumtheme.com/shop/shop/?shop-catalog-layout=full-bg	demo.kaliumtheme.com/shop/shop/index8fc9.html	(from https://demo.kaliumtheme.com/shop/)
17:57:40	75955/75955	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2016:56:30%20GMT	https://demo.kaliumtheme.com/shop/shop/?shop-catalog-layout=distanced-centered	demo.kaliumtheme.com/shop/shop/index54d8.html	(from https://demo.kaliumtheme.com/shop/)
